,logFC,logCPM,LR,PValue,FDR,gene
2665,-0.59303242265515,3.2983335725735,7.7803316680555,0.00528180993940426,0.0207582991209472,SRPX2
8736,1.95453254849268,-0.94839859134115,7.77940036948537,0.00528453349664505,0.0207640189442211,LIX1
17854,-0.321849066922539,5.34643283833831,7.77880081351077,0.00528628763917696,0.0207649054092749,TTC37
23776,0.792610087788395,1.11974499411182,7.77845639428793,0.00528729558732468,0.0207649054092749,
10142,-0.869452581772517,1.02666498022385,7.77666793666664,0.00529253268685078,0.0207804886527117,ACAN
19915,0.454839831957436,5.33197835760275,7.77561756874204,0.00529561091969074,0.0207875899276185,C6orf48
10170,-0.375043953047957,3.26170324581882,7.77504779200274,0.00529728148421347,0.0207891634086834,PAFAH2
1118,-0.944275991383823,3.56618422598795,7.77340178263097,0.00530211054170003,0.0208031286602575,ST6GALNAC1
6543,-0.263313164883229,5.946989203101,7.77145990111003,0.00530781339856035,0.0208205147998631,LRRC41
44075,1.0218354402468,-2.24914360471043,7.76672003164356,0.00532175957174653,0.0208702202319056,
4830,-0.337974013635331,5.71929010367085,7.76607677213455,0.00532365511834593,0.0208726545145302,FBXL5
16495,-1.05707059846438,-1.04871628091176,7.76484059814339,0.00532729978817629,0.0208819438429041,PLEKHG7
15525,0.306818490125329,3.4453515930862,7.76314705212056,0.0053322970793799,0.020891114873778,COA5
1827,-0.411931106253097,4.36944290331155,7.76305089367926,0.00533258096565473,0.020891114873778,KIF16B
1781,-0.32161600882615,5.00792118060635,7.76275070514497,0.0053334673042443,0.020891114873778,COQ9
5330,-0.289240789501639,5.67779889562856,7.7595128498603,0.00534303696805805,0.0209235934652032,VPS26A
3294,0.300250022679432,4.57679073033604,7.75443395317232,0.00535808321113692,0.0209774979473804,RBM28
5290,-0.492241774666387,6.4487336541872,7.75105018766907,0.00536813159399598,0.021011814149772,FKBP9
4370,-0.279240392756717,4.41914352960175,7.74777998838708,0.00537786098776611,0.02104486566747,STAM2
11464,0.891644876395709,1.71594593575889,7.74426843748827,0.0053883284618733,0.0210807889859621,GPER1
6912,0.381051849726414,2.08719416735574,7.74362144674199,0.00539025932162947,0.021080951407404,ANKRD16
1228,-0.789237553187166,1.94429045630653,7.74339172546129,0.0053909450646064,0.021080951407404,CLCN4
13585,-0.784664211174523,0.517583854223822,7.73465531848959,0.00541709030778608,0.0211781326669966,SUSD5
10431,0.42863367067946,3.31256073511338,7.73262328477375,0.00542319003771486,0.0211969182352603,CCDC58
28813,0.394244520803685,4.50512281151189,7.73111055839499,0.00542773546489802,0.0212054686717504,C19orf24
7719,-0.386657839184606,5.16251065300833,7.73103322251147,0.0054279679474321,0.0212054686717504,KIAA1109
14469,-0.378890602941277,4.80394019230494,7.72932210982842,0.00543311439086322,0.021220510954581,KDELC2
11818,-0.366302050948103,3.08685473534994,7.72611768154043,0.00544276560481641,0.0212531364769041,BORCS7
2290,0.329009671544687,3.63459994533408,7.72417512075614,0.00544862478857832,0.0212709426951342,FAM118A
1293,0.453773961549852,3.77559796763217,7.72348847098822,0.00545069741093508,0.0212739615516663,GTSE1
3854,0.36925964309789,3.25289527313239,7.72023012677076,0.00546054354414215,0.021306964906347,MAGOHB
2609,0.836084747567339,0.349847828831387,7.71982929296321,0.00546175604421537,0.021306964906347,SYP
9042,0.461727197348338,5.82544720126429,7.71928167832009,0.00546341299190773,0.0213083518143176,SIGMAR1
11436,-0.735527805475773,1.63146430101414,7.71857754162966,0.00546554429019163,0.0213115876788063,ADCY1
39137,1.92907925839393,-0.654348386354149,7.71317401787152,0.00548192804928268,0.0213703828454537,LINC02432
40071,1.63452743103283,-1.87313086530499,7.70963424488559,0.00549268796049725,0.0214072316060989,CCDC74BP1
7995,-0.465400509613536,6.03592100712312,7.70369900606741,0.00551077776161061,0.0214726235818302,MFGE8
1812,0.259226056131336,6.40589085372633,7.70162916584776,0.00551710063054132,0.0214921457587088,ANAPC5
5254,-0.35690343982391,2.78224247428956,7.69972235983299,0.00552293201515076,0.0215097445014423,SERAC1
25405,1.08218843858703,-1.62414790255459,7.69723580495852,0.00553054582788761,0.0215342751105836,LINC02068
4360,-0.381011959395816,4.8332470043534,7.6960345710397,0.00553422783068758,0.0215434884146096,SLC35F5
1331,-0.291497900668693,4.64976685653626,7.68969652934373,0.00555369652363259,0.0216141367200942,KIFAP3
1730,0.259167633227395,4.06355799727255,7.68920172391184,0.00555521936354075,0.0216149255321418,UIMC1
541,-0.501032549420253,3.70682976752769,7.68869004720818,0.00555679457522503,0.0216159176954525,MFAP3
3298,0.334710863201087,4.44046760712369,7.68688884045774,0.00556234326755361,0.0216323625462364,LSM5
24755,0.569333678409164,1.65187722409671,7.68563226777167,0.0055662175374025,0.0216422891806913,TIGD1
9217,0.611750859303357,5.15511404766675,7.68481083623,0.00556875166566649,0.0216470016671314,FADS1
1268,-0.303451151114802,4.7266020307759,7.6817503010658,0.00557820382365161,0.0216785974850814,DPP8
12248,0.449808522529554,4.95819837464316,7.67904674763443,0.00558656708829423,0.0217059475407312,ECI1
4751,-0.279366409106328,4.57723444323878,7.67736044765611,0.00559179002037771,0.0217180383942659,DHDDS
1660,-0.357653258016676,4.73302050059191,7.67718559234783,0.00559233187993801,0.0217180383942659,SLC25A24
15363,-0.672811469223349,1.03966939457569,7.67498759658726,0.00559914782351941,0.0217393519835151,VMO1
5920,0.34684506939686,4.79340879081525,7.67346941745758,0.00560386061458488,0.0217448014689082,PIN1
691,0.452542945888586,3.48098607596122,7.67339193153239,0.00560410125790023,0.0217448014689082,RAD51
9404,-0.829027530724352,3.90637554007355,7.67303244152006,0.00560521784199196,0.0217448014689082,ADAMTS12
16221,0.732608547969188,2.36359083014958,7.67282452495182,0.00560586373909861,0.0217448014689082,MARC1
8000,-0.448596267733953,7.0716731365445,7.67222033680309,0.0056077410928285,0.0217469315283943,FURIN
17718,0.780897462637078,1.18972418447891,7.67111643406166,0.00561117283262141,0.0217507866251087,RPS6KL1
19927,-0.33501945575463,3.01386201486045,7.67047570286954,0.00561316567758977,0.0217507866251087,MBD5
740,-0.421940868626598,3.48175458244037,7.6701997849683,0.00561402407820894,0.0217507866251087,GALC
2664,-0.677452108756846,2.96897473163543,7.6701917749222,0.00561404900004332,0.0217507866251087,KLF8
7019,1.55821593445743,-2.64428408871612,7.66827283812624,0.00562002268309293,0.0217687796049871,HNF1A
2686,-0.388090681622032,6.26347751164918,7.66615970215402,0.00562660841154854,0.0217891342294901,STK24
14219,-0.473409078392166,5.31345275328244,7.66463480523616,0.00563136574253886,0.0217996198825271,SEC24C
20356,1.26248402132572,-1.6326435810236,7.66443833085498,0.00563197899609661,0.0217996198825271,KLRC2
13160,-1.18550767182339,-0.659870912325367,7.66317583587126,0.00563592123456225,0.0218097230852016,CFAP46
20045,0.548179504233585,3.36019887118926,7.6603051675754,0.00564489559684652,0.0218392900773081,GABBR1
14791,0.298503305408963,3.48721907014771,7.65954617989934,0.00564727080015579,0.0218433179331327,FIZ1
15988,0.380494644712086,4.4644092448277,7.65898744297273,0.00564901998291147,0.0218449230468138,CDK10
9932,-0.648159831491607,2.56524740669582,7.6541293572112,0.00566425202221827,0.0218986536858984,GRIP1
17548,-0.355887809126953,5.36978615481781,7.65114336717807,0.00567363507289635,0.021925235927482,FAM114A1
15169,0.37771970404355,4.80770403397316,7.65108903904625,0.00567380593811405,0.021925235927482,SNRPE
403,0.538817986173031,5.20139328566685,7.64573263052333,0.0056906779554962,0.0219852454377865,RUNX3
